fiscal_year,month,citizenship,value
2010,1-Oct,Afghanistan,10
2010,1-Oct,Albania,10
2010,1-Oct,Algeria,10
2010,1-Oct,Argentina,50
2010,1-Oct,Armenia,10
2010,1-Oct,Australia,10
2010,1-Oct,Azerbaijan,10
2010,1-Oct,Bahamas,20
2010,1-Oct,Bangladesh,20
2010,1-Oct,Barbados,10
2010,1-Oct,Belize,30
2010,1-Oct,Bolivia,30
2010,1-Oct,Bosnia-Herzegovina,10
2010,1-Oct,Brazil,260
2010,1-Oct,Bulgaria,10
2010,1-Oct,Cambodia,20
2010,1-Oct,Cameroon,20
2010,1-Oct,Canada,70
2010,1-Oct,Cape Verde,10
2010,1-Oct,Chile,20
2010,1-Oct,"China, Peoples Republic Of",350
2010,1-Oct,Colombia,220
2010,1-Oct,Costa Rica,60
2010,1-Oct,Croatia,10
2010,1-Oct,Cuba,240
2010,1-Oct,Czech Republic,10
2010,1-Oct,Czechoslovakia,10
2010,1-Oct,Dominica,10
2010,1-Oct,Dominican Republic,430
2010,1-Oct,Ecuador,270
2010,1-Oct,Egypt,30
2010,1-Oct,El Salvador,2010
2010,1-Oct,Eritrea,10
2010,1-Oct,Ethiopia,20
2010,1-Oct,Fiji,10
2010,1-Oct,France,20
2010,1-Oct,Gambia,10
2010,1-Oct,Georgia,10
2010,1-Oct,Germany,10
2010,1-Oct,Ghana,30
2010,1-Oct,Grenada,10
2010,1-Oct,Guatemala,2790
2010,1-Oct,Guinea,20
2010,1-Oct,Guyana,30
2010,1-Oct,Haiti,110
2010,1-Oct,Honduras,2140
2010,1-Oct,Hungary,10
2010,1-Oct,India,90
2010,1-Oct,Indonesia,30
2010,1-Oct,Iran,30
2010,1-Oct,Iraq,20
2010,1-Oct,Ireland,10
2010,1-Oct,Israel,30
2010,1-Oct,Italy,10
2010,1-Oct,Jamaica,210
2010,1-Oct,Japan,10
2010,1-Oct,Jordan,30
2010,1-Oct,Kazakhstan,10
2010,1-Oct,Kenya,40
2010,1-Oct,Korea,20
2010,1-Oct,Laos,40
2010,1-Oct,Latvia,10
2010,1-Oct,Lebanon,20
2010,1-Oct,Liberia,20
2010,1-Oct,Lithuania,10
2010,1-Oct,Macedonia,10
2010,1-Oct,Mali,10
2010,1-Oct,Mexico,18200
2010,1-Oct,"Micronesia, Federated States Of",10
2010,1-Oct,Moldova,10
2010,1-Oct,Mongolia,10
2010,1-Oct,Morocco,10
2010,1-Oct,Nepal,20
2010,1-Oct,Netherlands,10
2010,1-Oct,New Zealand,10
2010,1-Oct,Nicaragua,210
2010,1-Oct,Nigeria,60
2010,1-Oct,Pakistan,50
2010,1-Oct,Panama,20
2010,1-Oct,Paraguay,10
2010,1-Oct,Peru,140
2010,1-Oct,Philippines,60
2010,1-Oct,Poland,60
2010,1-Oct,Portugal,10
2010,1-Oct,Romania,10
2010,1-Oct,Russia,40
2010,1-Oct,Saudi Arabia,10
2010,1-Oct,Senegal,20
2010,1-Oct,Serbia And Montenegro,10
2010,1-Oct,Sierra Leone,20
2010,1-Oct,Singapore,10
2010,1-Oct,Slovakia,10
2010,1-Oct,Somalia,40
2010,1-Oct,South Africa,10
2010,1-Oct,South Korea,30
2010,1-Oct,Spain,10
2010,1-Oct,Sri Lanka,10
2010,1-Oct,St. Lucia,10
2010,1-Oct,Sudan,10
2010,1-Oct,Syria,10
2010,1-Oct,Taiwan,10
2010,1-Oct,Tanzania,10
2010,1-Oct,Thailand,20
2010,1-Oct,Tonga,10
2010,1-Oct,Trinidad And Tobago,50
2010,1-Oct,Tunisia,10
2010,1-Oct,Turkey,20
2010,1-Oct,Ukraine,30
2010,1-Oct,United Kingdom,40
2010,1-Oct,Unknown,10
2010,1-Oct,Uruguay,20
2010,1-Oct,Uzbekistan,20
2010,1-Oct,Venezuela,60
2010,1-Oct,Vietnam,80
2010,1-Oct,Yemen,10
2010,1-Oct,Yugoslavia,10
2010,2-Nov,Afghanistan,10
2010,2-Nov,Albania,20
2010,2-Nov,Algeria,10
2010,2-Nov,Antigua-Barbuda,10
2010,2-Nov,Argentina,30
2010,2-Nov,Armenia,10
2010,2-Nov,Australia,10
2010,2-Nov,Bahamas,20
2010,2-Nov,Bangladesh,20
2010,2-Nov,Barbados,10
2010,2-Nov,Belarus,10
2010,2-Nov,Belize,20
2010,2-Nov,Bolivia,20
2010,2-Nov,Bosnia-Herzegovina,20
2010,2-Nov,Brazil,210
2010,2-Nov,Bulgaria,10
2010,2-Nov,Cambodia,20
2010,2-Nov,Cameroon,10
2010,2-Nov,Canada,60
2010,2-Nov,Cape Verde,10
2010,2-Nov,Chile,30
2010,2-Nov,"China, Peoples Republic Of",260
2010,2-Nov,Colombia,200
2010,2-Nov,Costa Rica,50
2010,2-Nov,Cuba,200
2010,2-Nov,Czech Republic,10
2010,2-Nov,Dominica,10
2010,2-Nov,Dominican Republic,400
2010,2-Nov,Ecuador,260
2010,2-Nov,Egypt,10
2010,2-Nov,El Salvador,1750
2010,2-Nov,Eritrea,30
2010,2-Nov,Ethiopia,30
2010,2-Nov,France,10
2010,2-Nov,Gambia,10
2010,2-Nov,Georgia,10
2010,2-Nov,Germany,20
2010,2-Nov,Ghana,20
2010,2-Nov,Grenada,10
2010,2-Nov,Guatemala,2310
2010,2-Nov,Guinea,10
2010,2-Nov,Guyana,30
2010,2-Nov,Haiti,130
2010,2-Nov,Honduras,1930
2010,2-Nov,Hungary,10
2010,2-Nov,India,90
2010,2-Nov,Indonesia,20
2010,2-Nov,Iran,20
2010,2-Nov,Iraq,30
2010,2-Nov,Israel,30
2010,2-Nov,Italy,30
2010,2-Nov,Ivory Coast,10
2010,2-Nov,Jamaica,180
2010,2-Nov,Jordan,30
2010,2-Nov,Kazakhstan,10
2010,2-Nov,Kenya,30
2010,2-Nov,Korea,30
2010,2-Nov,Laos,40
2010,2-Nov,Lebanon,20
2010,2-Nov,Liberia,20
2010,2-Nov,Lithuania,10
2010,2-Nov,Mali,10
2010,2-Nov,Mexico,16100
2010,2-Nov,"Micronesia, Federated States Of",10
2010,2-Nov,Moldova,10
2010,2-Nov,Mongolia,10
2010,2-Nov,Morocco,10
2010,2-Nov,Nepal,10
2010,2-Nov,Nicaragua,160
2010,2-Nov,Niger,10
2010,2-Nov,Nigeria,40
2010,2-Nov,Pakistan,40
2010,2-Nov,Panama,20
2010,2-Nov,Paraguay,10
2010,2-Nov,Peru,120
2010,2-Nov,Philippines,70
2010,2-Nov,Poland,50
2010,2-Nov,Portugal,20
2010,2-Nov,Romania,30
2010,2-Nov,Russia,40
2010,2-Nov,Senegal,10
2010,2-Nov,Sierra Leone,10
2010,2-Nov,Slovakia,10
2010,2-Nov,Somalia,30
2010,2-Nov,South Africa,10
2010,2-Nov,South Korea,20
2010,2-Nov,Spain,10
2010,2-Nov,Sri Lanka,10
2010,2-Nov,Sudan,20
2010,2-Nov,Syria,10
2010,2-Nov,Taiwan,10
2010,2-Nov,Tajikistan,10
2010,2-Nov,Tanzania,10
2010,2-Nov,Thailand,10
2010,2-Nov,Trinidad And Tobago,50
2010,2-Nov,Tunisia,10
2010,2-Nov,Turkey,20
2010,2-Nov,Ukraine,20
2010,2-Nov,United Kingdom,40
2010,2-Nov,Unknown,10
2010,2-Nov,Uruguay,10
2010,2-Nov,Uzbekistan,10
2010,2-Nov,Venezuela,40
2010,2-Nov,Vietnam,90
