state,area_mi2,white,Latino,Indigenous,Asian,Black,PacificIslander,Mixed,women
united_states,3796676,843497615,26041600,51095994,1831229,3862936,426068,6712435,238157861
Alabama,52420,8171173,70667,71182,8580,317092,1998,56966,2284057
Alaska,665384,528975,2119,321825,276,0,0,0,360992
Arizona,113990,6324718,1348792,20117766,29420,1182,6998,747806,7437081
Arkansas,53179,13536820,138310,85718,31162,157803,2273,160679,4111919
California,163695,23497022,2136782,364668,639687,63407,175286,308185,7369960
Colorado,104094,30842084,1012413,931597,66523,10714,38791,122483,10717207
Connecticut,5543,379946,2948,782,669,292,0,751,151341
Delaware,2489,521349,1914,0,902,887,0,0,111489
Florida,65758,9354656,496628,164185,66266,90340,2120,130470,2260403
Georgia,59425,9661516,104306,31630,19412,218588,1821,50322,2348898
Hawaii,10932,773270,48359,2954,184695,282,69302,227799,227852
Idaho,83569,11289510,375027,407746,32370,652,2306,41715,3485909
Illinois,57914,26914342,198611,13222,24519,21236,344,68502,4467193
Indiana,36420,14937178,110046,15867,4623,14265,1689,24819,3230184
Iowa,56273,30538637,179224,16598,19676,4356,597,22987,7705952
Kansas,82278,45434125,520854,166776,33368,52194,7811,226582,10325593
Kentucky,40408,12880517,57452,18411,14009,39654,1109,40283,3166612
Louisiana,52378,7739778,162672,41704,5365,197061,3128,39907,1841906
Maine,35380,1300088,7550,0,786,0,268,7209,502854
Maryland,12406,1974573,9721,0,5490,8009,0,0,471986
Massachusetts,10554,488067,8960,0,1812,643,10,2339,204320
Michigan,96714,9698053,71514,34306,5626,13761,691,50697,2284224
Minnesota,86936,25424698,222942,54347,11579,2693,2290,62961,4729075
Mississippi,48432,9766034,101852,20420,8244,588706,6094,64114,2541965
Missouri,69707,27594303,206730,90073,31865,25619,3624,196595,7426050
Montana,147040,53530563,959784,4631989,90861,81723,13447,381612,18813200
Nebraska,77348,44825122,433212,72285,7182,0,710,79868,10952375
Nevada,110572,4785259,226159,1359386,5516,5296,0,0,1365603
New Hampshire,9349,423407,2910,0,55,125,0,2808,190933
New Jersey,8723,720466,15189,1825,12378,983,0,4934,204457
New Mexico,121590,33443397,5374802,7314463,32416,49449,4607,240618,12715526
New York,54555,6829820,52560,18718,10363,7724,3169,20520,1984973
North Carolina,53819,8161273,78224,87183,17644,170450,288,23576,1596689
North Dakota,70698,38985037,206787,360328,17196,3655,0,81264,8499445
Ohio,44826,13921607,82391,16088,8715,9661,847,39847,3104458
Oklahoma,69899,31588262,534938,2229773,44753,259846,13102,1153030,10016175
Oregon,98379,14994813,225127,651174,47068,8450,3770,361305,5649627
Pennsylvania,46054,7249308,46694,14766,7903,1329,1478,22267,1771913
Rhode Island,1545,56846,318,0,303,0,0,0,21445
South Carolina,32020,4537848,36290,10683,8655,189769,830,19399,978093
South Dakota,77116,40072573,362356,3359916,8397,3967,0,432432,9795747
Tennessee,42144,10714382,80067,27952,12017,108645,13156,55494,2758344
Texas,268596,125261769,7089991,599509,129869,946751,15473,736977,35429107
Utah,84897,6809269,172109,3997753,16786,736,4061,79427,1589884
Vermont,9616,1181599,14750,2785,426,3705,495,10114,476815
Virginia,42775,7622996,97653,13191,12722,141186,1108,28358,2043877
Washington,71298,11794944,1593220,2822900,61960,6345,3578,109608,3629465
West Virginia,24230,3637967,43623,8875,4514,1581,0,17571,1042313
Wisconsin,65496,14288846,70049,22793,13947,3604,873,18268,3759350
Wyoming,97813,28488810,646004,489851,12659,0,0,123754,10003025
